No,Status,Group,Post URL,Message,Score,Reason,PostDate (UTC+7),Contact,ScrapedAt (UTC+7)
1,"✅ Lead","2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4358780531033604/","ตามหาแบต Lvtopsun 200a G3",9,"สนใจ/ซื้อ","2026-04-26 20:38","","2026-04-26 20:41:13"
2,"✅ Lead","thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1299042965529099/","หาบริษัทติดโซล่าเซลล์ ในกรุงเทพฯครับ
เบื้องต้นสเปคตามนี้
1. ไฟ 3 เฟส
2. แผง AIKO ABC หรือ longi x10 จำนวน 10 แผง
3. อินเวอร์เตอร์ DEYE 5KW
ดูเพิ่มเติม",5,"กำลังพิจารณา","2026-04-26 20:40","","2026-04-26 20:41:13"
3,"✅ Lead","429829328127055","https://www.facebook.com/groups/429829328127055/posts/1605423913900918/","อินเวอร์เตอร์ปั๊มน้ำ UMC. (เครื่องควบคุมมอเตอร์)
1เฟส
... ดูเพิ่มเติม",5,"กำลังพิจารณา","2026-04-26 20:35","","2026-04-26 20:41:13"
4,"❌ Rejected","1671213103178339","https://www.facebook.com/groups/1671213103178339/posts/4066632713636354/","Smart PV Optimizer ยี่ห่อ Huawei รุ่น SUN2000-450W-P... ดูเพิ่มเติม",0,"ไม่มี signals","2026-04-26 16:41","","2026-04-26 20:41:13"
